2013-12-04 21:57:52 Debug: image/jpeg can not be transformed
2013-12-04 21:58:09 Debug: image/jpeg can not be transformed
2013-12-04 22:00:45 Debug: image/jpeg can not be transformed
2013-12-05 13:35:45 Debug: Invalid RGB fill color
2013-12-05 13:35:58 Debug: Invalid RGB fill color
2013-12-05 13:36:29 Debug: Invalid RGB fill color
2013-12-05 13:40:11 Debug: Invalid RGB fill color
2013-12-05 13:57:32 Debug: Invalid width and height for crop
2013-12-05 15:06:52 Debug: No file detected in input stream
2013-12-05 15:06:52 Debug: No file detected in input stream
2013-12-05 15:08:27 Debug: No file detected in input stream
2013-12-05 15:08:27 Debug: No file detected in input stream
2013-12-05 16:19:22 Debug: No file detected in input stream
2013-12-05 16:19:22 Debug: No file detected in input stream
2013-12-05 16:22:47 Debug: No file detected in input stream
2013-12-05 16:22:47 Debug: No file detected in input stream
2013-12-05 16:24:04 Debug: No file detected in input stream
2013-12-05 16:24:04 Debug: No file detected in input stream
2013-12-05 16:26:56 Debug: No file detected in input stream
2013-12-05 16:26:56 Debug: No file detected in input stream
2013-12-05 16:37:01 Debug: No file detected in input stream
2013-12-05 16:37:01 Debug: No file detected in input stream
2013-12-05 16:38:10 Debug: No file detected in input stream
2013-12-05 16:38:10 Debug: No file detected in input stream
2013-12-05 16:38:16 Debug: No file detected in input stream
2013-12-05 16:38:16 Debug: No file detected in input stream
2013-12-05 16:38:20 Debug: No file detected in input stream
2013-12-05 16:38:20 Debug: No file detected in input stream
2013-12-05 16:38:24 Debug: No file detected in input stream
2013-12-05 16:38:24 Debug: No file detected in input stream
2013-12-05 16:38:35 Debug: No file detected in input stream
2013-12-05 16:38:35 Debug: No file detected in input stream
2013-12-05 16:52:55 Debug: No file detected in input stream
2013-12-05 16:52:55 Debug: No file detected in input stream
2013-12-05 16:53:28 Debug: No file detected in input stream
2013-12-05 16:54:30 Debug: No file detected in input stream
2013-12-05 16:54:30 Debug: No file detected in input stream
2013-12-05 16:54:47 Debug: No file detected in input stream
2013-12-05 16:54:47 Debug: No file detected in input stream
2013-12-05 16:55:54 Debug: No file detected in input stream
2013-12-05 16:55:54 Debug: No file detected in input stream
2013-12-05 16:59:09 Debug: No file detected in input stream
2013-12-05 16:59:09 Debug: No file detected in input stream
2013-12-05 16:59:35 Debug: No file detected in input stream
2013-12-05 16:59:35 Debug: No file detected in input stream
2013-12-05 17:51:44 Debug: image/jpeg can not be transformed
